TestDescription,Unit,Value,Component
505113_OC Meas Voltage SM CONTROL, V,1.462,IC101
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,1.461,IC101
505144_OC Read ADC SM CONTROL, Dec,68,IC101
505146_OC Read ADC FRONT FOG CONTROL, Dec,68,IC101
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,68,IC101
505250_OC PWM FRONT FOG CONTROL Meas Vrms, V,1.107,IC101
505300_OC PWM SM CONTROL Meas Vrms, V,1.134,IC101
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms, V,1.134,IC101
509010_BST CHK Phase 1, Dec,0,IC101
509030_BST CHK Phase 2, Dec,0,IC101
509050_BST CHK Phase 3, Dec,0,IC101
509070_BST CHK Phase 4, Dec,0,IC101
530030_CAL CH1 Voltage High FB, V,0,IC101
530040_CAL CH1 Voltage Meas Vf High, V,.0512,IC101
530050_CAL CH2 Voltage High FB, V,0,IC101
530060_CAL CH2 Voltage Meas Vf High, V,.0567,IC101
530070_CAL CH3 Voltage High FB, V,0,IC101
530080_CAL CH3 Voltage Meas Vf High, V,.0527,IC101
530090_CAL CH4 Voltage High FB, V,0,IC101
530100_CAL CH4 Voltage Meas Vf High, V,.0524,IC101
530120_CAL CH1 Voltage Low FB, V,0,IC101
530130_CAL CH1 Voltage Meas Vf Low, V,.0512,IC101
530140_CAL CH2 Voltage Low FB, V,0,IC101
530150_CAL CH2 Voltage Meas Vf Low, V,.0567,IC101
530160_CAL CH3 Voltage Low FB, V,0,IC101
530170_CAL CH3 Voltage Meas Vf Low, V,.0528,IC101
530180_CAL CH4 Voltage Low FB, V,0,IC101
530190_CAL CH4 Voltage Meas Vf Low, V,.0524,IC101
505112_OC Meas Voltage FRONT FOG CONTROL, V,1.460,IC101
505113_OC Meas Voltage SM CONTROL, V,1.461,IC101
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,1.460,IC101
505144_OC Read ADC SM CONTROL, Dec,69,IC101
505146_OC Read ADC FRONT FOG CONTROL, Dec,68,IC101
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,68,IC101
505250_OC PWM FRONT FOG CONTROL Meas Vrms, V,1.078,IC101
505300_OC PWM SM CONTROL Meas Vrms, V,1.157,IC101
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms, V,1.157,IC101
509010_BST CHK Phase 1, Dec,0,IC101
509030_BST CHK Phase 2, Dec,0,IC101
509050_BST CHK Phase 3, Dec,0,IC101
509070_BST CHK Phase 4, Dec,0,IC101
530030_CAL CH1 Voltage High FB, V,0,IC101
530040_CAL CH1 Voltage Meas Vf High, V,.0507,IC101
530050_CAL CH2 Voltage High FB, V,0,IC101
530060_CAL CH2 Voltage Meas Vf High, V,.0562,IC101
530070_CAL CH3 Voltage High FB, V,0,IC101
530080_CAL CH3 Voltage Meas Vf High, V,.0523,IC101
530090_CAL CH4 Voltage High FB, V,0,IC101
530100_CAL CH4 Voltage Meas Vf High, V,.0520,IC101
530120_CAL CH1 Voltage Low FB, V,0,IC101
530130_CAL CH1 Voltage Meas Vf Low, V,.0507,IC101
530140_CAL CH2 Voltage Low FB, V,0,IC101
530150_CAL CH2 Voltage Meas Vf Low, V,.0563,IC101
530160_CAL CH3 Voltage Low FB, V,0,IC101
530170_CAL CH3 Voltage Meas Vf Low, V,.0523,IC101
530180_CAL CH4 Voltage Low FB, V,0,IC101
530190_CAL CH4 Voltage Meas Vf Low, V,.0521,IC101
505112_OC Meas Voltage FRONT FOG CONTROL, V,1.462,IC101
505113_OC Meas Voltage SM CONTROL, V,1.462,IC101
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,1.462,IC101
505144_OC Read ADC SM CONTROL, Dec,69,IC101
505146_OC Read ADC FRONT FOG CONTROL, Dec,68,IC101
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,68,IC101
505250_OC PWM FRONT FOG CONTROL Meas Vrms, V,1.107,IC101
505300_OC PWM SM CONTROL Meas Vrms, V,1.133,IC101
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms, V,1.133,IC101
509010_BST CHK Phase 1, Dec,0,IC101
509030_BST CHK Phase 2, Dec,0,IC101
509050_BST CHK Phase 3, Dec,0,IC101
509070_BST CHK Phase 4, Dec,0,IC101
530030_CAL CH1 Voltage High FB, V,0,IC101
530040_CAL CH1 Voltage Meas Vf High, V,.0530,IC101
530050_CAL CH2 Voltage High FB, V,0,IC101
530060_CAL CH2 Voltage Meas Vf High, V,.0586,IC101
530070_CAL CH3 Voltage High FB, V,0,IC101
530080_CAL CH3 Voltage Meas Vf High, V,.0546,IC101
530090_CAL CH4 Voltage High FB, V,0,IC101
530100_CAL CH4 Voltage Meas Vf High, V,.0544,IC101
530120_CAL CH1 Voltage Low FB, V,0,IC101
530130_CAL CH1 Voltage Meas Vf Low, V,.0530,IC101
530140_CAL CH2 Voltage Low FB, V,0,IC101
530150_CAL CH2 Voltage Meas Vf Low, V,.0586,IC101
530160_CAL CH3 Voltage Low FB, V,0,IC101
530170_CAL CH3 Voltage Meas Vf Low, V,.0546,IC101
530180_CAL CH4 Voltage Low FB, V,0,IC101
530190_CAL CH4 Voltage Meas Vf Low, V,.0543,IC101
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1, V,.0000,D101
502070_EOL Download TBX, Hex,21474,D101
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1, V,.0000,D101
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1, V,.0000,D101
55610 TI String1 Anode Voltage, V,44.62,T116
55610 TI String1 Anode Voltage, V,44.62,T116
55610 TI String1 Anode Voltage, V,44.59,T116
53090 SM NTC ADC High, Dec,207,C1418
53090 SM NTC ADC High, Dec,206,C1418
53090 SM NTC ADC High, Dec,207,C1418
506150_[A-01][C-02] LSD P0 LB Voltage Active, V,99900,R1041
506160_[C-02] LSD P0 LB Check Current, A,.0034,R1041
506150_[A-01][C-02] LSD P0 LB Voltage Active, V,99900,R1041
506160_[C-02] LSD P0 LB Check Current, A,.0025,R1041
506150_[A-01][C-02] LSD P0 LB Voltage Active, V,99900,R1041
506160_[C-02] LSD P0 LB Check Current, A,.0039,R1041
506150_[A-01][C-02] LSD P0 LB Voltage Active, V,99900,R1041
506160_[C-02] LSD P0 LB Check Current, A,.0034,R1041
506150_[A-01][C-02] LSD P0 LB Voltage Active, V,99900,R1041
506160_[C-02] LSD P0 LB Check Current, A,.0025,R1041
506150_[A-01][C-02] LSD P0 LB Voltage Active, V,99900,R1041
506160_[C-02] LSD P0 LB Check Current, A,.0039,R1041
501050_[A-01][A-07] LIN Voltage, A,.1042,C1003
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,.0000,C1003
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,.0000,C1003
501050_[A-01][A-07] LIN Voltage, A,.1042,C1003
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,.0000,C1003
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,.0000,C1003
505040_[A-01][C-14] OC Voltage FANCTRL, V,.0056,R1216
505080_[C-14] OC Read ADC FANCTRL, Dec,218,R1216
500080_PCHK ALUMINUM PLATE, Ohm,3.250,R1216
505040_[A-01][C-14] OC Voltage FANCTRL, V,.0022,R1216
505080_[C-14] OC Read ADC FANCTRL, Dec,217,R1216
505040_[A-01][C-14] OC Voltage FANCTRL, V,.0058,R1216
505080_[C-14] OC Read ADC FANCTRL, Dec,218,R1216
505040_[A-01][C-14] OC Voltage FANCTRL, V,.0056,R1216
505080_[C-14] OC Read ADC FANCTRL, Dec,218,R1216
500080_PCHK ALUMINUM PLATE, Ohm,3.250,R1216
505040_[A-01][C-14] OC Voltage FANCTRL, V,.0022,R1216
505080_[C-14] OC Read ADC FANCTRL, Dec,217,R1216
505040_[A-01][C-14] OC Voltage FANCTRL, V,.0058,R1216
505080_[C-14] OC Read ADC FANCTRL, Dec,218,R1216
509010_BST CHK Phase 1, Dec,0,R1041
509010_BST CHK Phase 1, Dec,0,R1041
509010_BST CHK Phase 1, Dec,0,R1041
55790 AI_TI_ISHUNT ADC High, Dec,789,C101
55912 TI SRET1 ADC High, Dec,225,C101
55914 TI SRET2 ADC High, Dec,221,C101
55912 TI SRET1 ADC High, Dec,224,C101
507030 HSD Read ADC Fan Sense, Dec,12,IC200
507030 HSD Read ADC Fan Sense, Dec,138,IC200
507030 HSD Read ADC Fan Sense, Dec,14,IC200
507030 HSD Read ADC Fan Sense, Dec,15,IC200
507030 HSD Read ADC Fan Sense, Dec,15,IC200
507030 HSD Read ADC Fan Sense, Dec,12,IC200
53130 TI BIN ADC High, Dec,228,D500
53130 TI BIN ADC High, Dec,213,D500
53130 TI BIN ADC High, Dec,372,D500
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1, V,.0001,C960
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2, V,.0000,C960
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,.0000,C960
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4, V,.0000,C960
501050_[A-01][A-07] LIN Voltage, A,.0428,C960
501060_Read SW Version, Hex,21474,C960
521610_Leakage 8A ANODESBL2/3+SLB4/5, mA,2108.,C960
521620_Leakage 9A ANODE CHANNEL 4, mA,2107.,C960
521630_Leakage 20C ANODE CHANNEL 2, mA,2108.,C960
521640_Leakage 22C ANODE CHANNEL 1, mA,2108.,C960
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1, V,.0002,C960
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2, V,.0000,C960
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,.0000,C960
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4, V,.0001,C960
501050_[A-01][A-07] LIN Voltage, A,.0158,C960
501060_Read SW Version, Hex,21474,C960
521610_Leakage 8A ANODESBL2/3+SLB4/5, mA,2099.,C960
521620_Leakage 9A ANODE CHANNEL 4, mA,2099.,C960
521630_Leakage 20C ANODE CHANNEL 2, mA,2099.,C960
521640_Leakage 22C ANODE CHANNEL 1, mA,2099.,C960
56060 DRL1 C8 ADC High, Dec,4095,R1133
56060 DRL1 C8 ADC High, Dec,4095,R1133
56060 DRL1 C8 ADC High, Dec,4095,R1133
56060 DRL1 C8 ADC High, Dec,4095,R1133
505010_FOG Measure I_Low, mA,2.986,R608
505010_FOG Measure I_Low, mA,3.364,R608
504100_AI_P0 PCB Temperature, Dec,470,R608
505010_FOG Measure I_Low, mA,5.124,R608
505010_FOG Measure I_Low, mA,5.378,R608
505010_FOG Measure I_Low, mA,5.241,R608
505010_FOG Measure I_Low, mA,5.357,R608
505010_FOG Measure I_Low, mA,5.413,R608
505010_FOG Measure I_Low, mA,5.137,R608
505010_FOG Measure I_Low, mA,8.390,R608
505010_FOG Measure I_Low, mA,7.699,R608
505010_FOG Measure I_Low, mA,7.662,R608
505010_FOG Measure I_Low, mA,7.751,R608
505010_FOG Measure I_Low, mA,6.910,R608
505010_FOG Measure I_Low, mA,7.429,R608
505010_FOG Measure I_Low, mA,6.538,R608
505010_FOG Measure I_Low, mA,6.869,R608
506060 LSD LB Voltage Active, V,.8070,D1003
530010 CAL CH1-CH3 Current Init channel ON, Bol,-1197,D1003
530025_CAL CH1&CH3 High FB, Bol,0,D1003
530030 CAL CH1 Voltage High FB, V,0,D1003
530070 CAL CH3 Voltage High FB, V,0,D1003
530080 CAL CH3 Voltage Meas Vf High, V,.3329,D1003
530120 CAL CH1 Voltage Low FB, V,0,D1003
530160 CAL CH3 Voltage Low FB, V,0,D1003
530170 CAL CH3 Voltage Meas Vf Low, V,.2383,D1003
530200 CAL CH1-3 Voltage OFF, Bol,-1197,D1003
530010 CAL CH1-CH3 Current Init channel ON, Bol,-1197,D1003
530025_CAL CH1&CH3 High FB, Bol,0,D1003
530030 CAL CH1 Voltage High FB, V,0,D1003
530070 CAL CH3 Voltage High FB, V,0,D1003
530080 CAL CH3 Voltage Meas Vf High, V,.2622,D1003
530120 CAL CH1 Voltage Low FB, V,0,D1003
530160 CAL CH3 Voltage Low FB, V,0,D1003
530170 CAL CH3 Voltage Meas Vf Low, V,.1855,D1003
530200 CAL CH1-3 Voltage OFF, Bol,-1197,D1003
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,285,D1003
507030 HSD Read ADC Fan Sense, Dec,11,D1003
530010 CAL CH1-CH3 Current Init channel ON, Bol,-1197,D1003
530025_CAL CH1&CH3 High FB, Bol,0,D1003
530030 CAL CH1 Voltage High FB, V,0,D1003
530070 CAL CH3 Voltage High FB, V,0,D1003
530080 CAL CH3 Voltage Meas Vf High, V,.2806,D1003
530120 CAL CH1 Voltage Low FB, V,0,D1003
530160 CAL CH3 Voltage Low FB, V,0,D1003
530170 CAL CH3 Voltage Meas Vf Low, V,.1936,D1003
530200 CAL CH1-3 Voltage OFF, Bol,-1197,D1003
503010_PS P0 Variant Detect Combo, Hex,0,R206
503010_PS P0 Variant Detect Combo, Hex,0,R206
50120 IDENT Read Serial Number,Hex,0,IC100
50120 IDENT Read Serial Number,Hex,0,IC100
50120 IDENT Read Serial Number,Hex,0,IC100
506090_[A-01][C-03] LSD LSDRV Frequency, Hz,0,T1010
506090_[A-01][C-03] LSD LSDRV Frequency, Hz,0,T1010
506090_[A-01][C-03] LSD LSDRV Frequency, Hz,0,T1010
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,.0043,D2200
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,0,D2200
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,.0036,D2200
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,0,D2200
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,.0032,D2200
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,0,D2200
Screw_1_Status,  ,0,L100
Screw1_1_Torque, LbIn,0,L100
Screw_2_Status,  ,0,L100
Screw1_2_Torque, Lbin,0,L100
501050 LIN Voltage, V,.0111,L100
501060 Read SW Version, Hex,21474,L100
501070 Check SW Version, Bol,-1,L100
501080 Change to Programming Session, Dec,21474,L100
501090 Read Serial Number, Hex,21474,L100
501100 Check Serial Number, Bol,-1,L100
501110 Read Bootloader SW Version, Hex,21474,L100
501120 Check Bootloader Version, Dec,1,L100
501170 Change to Default Session, Dec,21474,L100
501180 Read PN Suffix, Dec,21474,L100
501190 Check PN Suffix, bin,1,L100
501200 Read HW Version, Dec,21474,L100
501210 Check HW Version, bin,1,L100
502020 EOL Change Session, Dec,21474,L100
502030 EOL Enter EOL mode, Hex,21474,L100
502040 EOL Activation EOL, Bol,21474,L100
502050 EOL Get Security Access, Hex,21474,L100
502060 EOL Validate Key to ECU, Hex,21474,L100
502070 EOL Check EOL mode, Bol,21474,L100
502080 EOL Download TBX, Bol,21474,L100
502090 Stand by Current, mA,257.9,L100
502100 INIT uC Port Registers, Bol,-197,L100
503010 PS P0 LR Detect Feedback, Dec,-9999,L100
503020 PS P0 LB Feedback, Dec,17971,L100
503030 PS P0 HB Feedback, Dec,58156,L100
503050 PS P0 DTRL Feedback, Dec,35232,L100
503060 PS P0 Check DI DRL, Hex,0,L100
503070 PS P1 LR Detect Feedback, Dec,-9999,L100
504010 AI P0 Read ADC NTC-LB, Dec,-9999,L100
504020 AI P0 Read ADC NTC-HB, Dec,0,L100
504030 AI P0 Read ADC NTC-DRL, Dec,0,L100
504040 AI P0 Read ADC NTC-TI, Dec,0,L100
504050 AI P0 Read ADC BINNING-LB, Dec,12349,L100
504060 AI P0 Read ADC BINNING-DTRL, Dec,34551,L100
504070 AI P0 Read ADC BINNING-TI, Dec,37737,L100
504080 AI P1 Read ADC NTC-LB, Dec,-9999,L100
504090 AI P1 Read ADC NTC-HB, Dec,33554,L100
504100 AI P1 Read ADC NTC-DRL, Dec,58166,L100
504110 AI P1 Read ADC NTC-TI, Dec,-1946,L100
504120 AI P1 Read ADC BINNING-LB, Dec,36937,L100
504130 AI P1 Read ADC BINNING-DRL, Dec,36045,L100
504140 AI P1 Read ADC BINNING-TI, Dec,58166,L100
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,-1912,L100
504160 AI P1 Read ADC TEMP REF, Dec,36352,L100
504165 AI P1 Disable VRef analogs, Bol,-144,L100
504170 AI P1 Read ADC PCB TEMP OFF, Dec,-9999,L100
504180 AI P1 Read ADC TEMP REF OFF, Dec,17971,L100
506032 LSD set PWMs 50%, Bol,-144,L100
506034 LSD HB_IN Frequency, Hz,34253,L100
506036 LSD HB_IN Duty cycle, %,99.54,L100
506038 LSD set PWMs Off, Bol,-144,L100
506040 LSD Set P0, Bol,-144,L100
506075 LSD LB Disable HB, Bol,-144,L100
506090 LSD LB Voltage Inactive, V,.7380,L100
506100 LSD LB Current High, mA,1502.,L100
507030 HSD Read ADC Fan Sense, Dec,-9999,L100
508010 INIT BOOST 30V, Bol,-144,L100
508020 INIT BUCK, Bol,-144,L100
505050_FOG Set Max Current, Dec,83352,C611
505046_FOG_P0 LED Anode FB, V,-.960,C611
505042_FOG_P0 Read Analog Inputs, Dec,21474,C611
505046_FOG_P0 LED Anode FB, V,-.960,C611
505046_FOG_P0 LED Anode FB, V,-.960,C611
505050_FOG Set Max Current, Dec,83352,C611
505046_FOG_P0 LED Anode FB, V,-.960,C611
505050_FOG Set Max Current, Dec,83352,C611
505050_FOG Set Max Current, Dec,83352,C611
505050_FOG Set Max Current, Dec,83352,C611
505042_FOG_P0 Read Analog Inputs, Dec,21474,C611
505046_FOG_P0 LED Anode FB, V,-.960,C611
505046_FOG_P0 LED Anode FB, V,-.960,C611
505046_FOG_P0 LED Anode FB, V,-.960,C611
505046_FOG_P0 LED Anode FB, V,-.960,C611
505050_FOG Set Max Current, Dec,83352,C611
505046_FOG_P0 LED Anode FB, V,-.960,C611
505050_FOG Set Max Current, Dec,83352,C611
505046_FOG_P0 LED Anode FB, V,-.960,C611
505046_FOG_P0 LED Anode FB, V,-.960,C611
505050_FOG Set Max Current, Dec,83352,C611
505050_FOG Set Max Current, Dec,83352,C611
505046_FOG_P0 LED Anode FB, V,-.960,C611
505046_FOG_P0 LED Anode FB, V,-.923,C611
505050_FOG Set Max Current, Dec,83352,C611
505046_FOG_P0 LED Anode FB, V,-.923,C611
505046_FOG_P0 LED Anode FB, V,-.923,C611
505030_FOG Measure V Cathode, V,12.05,C611
505010_FOG Measure I_Low, mA,461.6,C611
505010_FOG Measure I_Low, mA,465.5,C611
shorts,U,0,IC101
503030_ID Read SN, Dec,21474,IC101
503030_ID Read SN, Dec,21474,IC101
503030_ID Read SN, Dec,21474,IC101
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,.0000,C1003
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,.0002,C1003
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4, V,.0001,C1003
507040_HSD Voltage High, V,.0012,L417
507050_HSD Current High, mA,.4185,L417
507080_HSD Read ADC Fan Sense, Dec,0,L417
509030_BST CHK Phase 2, Dec,35,L417
507040_HSD Voltage High, V,.0001,L417
507050_HSD Current High, mA,.3401,L417
507080_HSD Read ADC Fan Sense, Dec,0,L417
509030_BST CHK Phase 2, Dec,35,L417
507040_HSD Voltage High, V,.0012,L417
507050_HSD Current High, mA,.4185,L417
507080_HSD Read ADC Fan Sense, Dec,0,L417
509030_BST CHK Phase 2, Dec,35,L417
507040_HSD Voltage High, V,.0001,L417
507050_HSD Current High, mA,.3401,L417
507080_HSD Read ADC Fan Sense, Dec,0,L417
509030_BST CHK Phase 2, Dec,35,L417
504010 AI P0 Read ADC NTC-LB, Dec,0,T300
504020 AI P0 Read ADC NTC-HB, Dec,0,T300
504030 AI P0 Read ADC NTC-DRL, Dec,0,T300
504040 AI P0 Read ADC NTC-TI, Dec,0,T300
504050 AI P0 Read ADC BINNING-LB, Dec,0,T300
504060 AI P0 Read ADC BINNING-DTRL, Dec,0,T300
504070 AI P0 Read ADC BINNING-TI, Dec,0,T300
504080 AI P1 Read ADC NTC-LB, Dec,0,T300
504090 AI P1 Read ADC NTC-HB, Dec,0,T300
504100 AI P1 Read ADC NTC-DRL, Dec,0,T300
504110 AI P1 Read ADC NTC-TI, Dec,0,T300
504120 AI P1 Read ADC BINNING-LB, Dec,0,T300
504130 AI P1 Read ADC BINNING-DRL, Dec,0,T300
504140 AI P1 Read ADC BINNING-TI, Dec,0,T300
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,0,T300
504160 AI P1 Read ADC TEMP REF, Dec,0,T300
506060 LSD LB Voltage Active, V,.7901,T300
501100 Check Serial Number, Bol,-1,R211
501100 Check Serial Number, Bol,-1,R211
509010 BST CHK Phase 1, Dec,0,R211
530030 CAL CH1 Voltage High FB, V,0,R211
530040 CAL CH1 Voltage Meas Vf High, V,.0551,R211
530070 CAL CH3 Voltage High FB, V,0,R211
530080 CAL CH3 Voltage Meas Vf High, V,.0543,R211
530120 CAL CH1 Voltage Low FB, V,0,R211
530130 CAL CH1 Voltage Meas Vf Low, V,.0550,R211
530160 CAL CH3 Voltage Low FB, V,0,R211
530170 CAL CH3 Voltage Meas Vf Low, V,.0543,R211
501100 Check Serial Number, Bol,-1,R211
501100 Check Serial Number, Bol,-1,R211
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1, V,.0023,C1003
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1, V,.0022,C1003
509010_BST CHK Phase 1, Dec,36,R217
509030_BST CHK Phase 2, Dec,35,R217
509050_BST CHK Phase 3, Dec,35,R217
509070_BST CHK Phase 4, Dec,36,R217
530030_CAL CH1 Voltage High FB, V,0,R217
530040_CAL CH1 Voltage Meas Vf High, V,.0863,R217
530050_CAL CH2 Voltage High FB, V,0,R217
530060_CAL CH2 Voltage Meas Vf High, V,.0856,R217
530070_CAL CH3 Voltage High FB, V,0,R217
530080_CAL CH3 Voltage Meas Vf High, V,.0865,R217
530090_CAL CH4 Voltage High FB, V,0,R217
530100_CAL CH4 Voltage Meas Vf High, V,.0818,R217
530120_CAL CH1 Voltage Low FB, V,0,R217
530130_CAL CH1 Voltage Meas Vf Low, V,.0864,R217
530140_CAL CH2 Voltage Low FB, V,0,R217
530150_CAL CH2 Voltage Meas Vf Low, V,.0856,R217
530160_CAL CH3 Voltage Low FB, V,0,R217
530170_CAL CH3 Voltage Meas Vf Low, V,.0866,R217
530180_CAL CH4 Voltage Low FB, V,0,R217
530190_CAL CH4 Voltage Meas Vf Low, V,.0818,R217
509010_BST CHK Phase 1, Dec,35,R217
509030_BST CHK Phase 2, Dec,35,R217
509050_BST CHK Phase 3, Dec,36,R217
509070_BST CHK Phase 4, Dec,35,R217
530030_CAL CH1 Voltage High FB, V,0,R217
530040_CAL CH1 Voltage Meas Vf High, V,.0864,R217
530050_CAL CH2 Voltage High FB, V,0,R217
530060_CAL CH2 Voltage Meas Vf High, V,.0856,R217
530070_CAL CH3 Voltage High FB, V,0,R217
530080_CAL CH3 Voltage Meas Vf High, V,.0866,R217
530090_CAL CH4 Voltage High FB, V,0,R217
530100_CAL CH4 Voltage Meas Vf High, V,.0817,R217
530120_CAL CH1 Voltage Low FB, V,0,R217
530130_CAL CH1 Voltage Meas Vf Low, V,.0864,R217
530140_CAL CH2 Voltage Low FB, V,0,R217
530150_CAL CH2 Voltage Meas Vf Low, V,.0856,R217
530160_CAL CH3 Voltage Low FB, V,0,R217
530170_CAL CH3 Voltage Meas Vf Low, V,.0866,R217
530180_CAL CH4 Voltage Low FB, V,0,R217
530190_CAL CH4 Voltage Meas Vf Low, V,.0818,R217
509010_BST CHK Phase 1, Dec,37,C250
509030_BST CHK Phase 2, Dec,36,C250
509050_BST CHK Phase 3, Dec,37,C250
509070_BST CHK Phase 4, Dec,36,C250
530030_CAL CH1 Voltage High FB, V,0,C250
530040_CAL CH1 Voltage Meas Vf High, V,.0814,C250
530050_CAL CH2 Voltage High FB, V,0,C250
530060_CAL CH2 Voltage Meas Vf High, V,.0830,C250
530070_CAL CH3 Voltage High FB, V,0,C250
530080_CAL CH3 Voltage Meas Vf High, V,.0810,C250
530090_CAL CH4 Voltage High FB, V,0,C250
530100_CAL CH4 Voltage Meas Vf High, V,.0804,C250
530120_CAL CH1 Voltage Low FB, V,0,C250
530130_CAL CH1 Voltage Meas Vf Low, V,.0814,C250
530140_CAL CH2 Voltage Low FB, V,0,C250
530150_CAL CH2 Voltage Meas Vf Low, V,.0832,C250
530160_CAL CH3 Voltage Low FB, V,0,C250
