TestDescription,Value,Component
521610_Leakage 8A ANODESBL2/3+SLB4/5,2099.,C960
521620_Leakage 9A ANODE CHANNEL 4,2099.,C960
521630_Leakage 20C ANODE CHANNEL 2,2099.,C960
521640_Leakage 22C ANODE CHANNEL 1,2099.,C960
56060 DRL1 C8 ADC High,4095,R1133
56060 DRL1 C8 ADC High,4095,R1133
56060 DRL1 C8 ADC High,4095,R1133
56060 DRL1 C8 ADC High,4095,R1133
505010_FOG Measure I_Low,2.986,R608
505010_FOG Measure I_Low,3.364,R608
504100_AI_P0 PCB Temperature,470,R608
505010_FOG Measure I_Low,5.124,R608
505010_FOG Measure I_Low,5.378,R608
505010_FOG Measure I_Low,5.241,R608
505010_FOG Measure I_Low,5.357,R608
505010_FOG Measure I_Low,5.413,R608
505010_FOG Measure I_Low,5.137,R608
505010_FOG Measure I_Low,8.390,R608
505010_FOG Measure I_Low,7.699,R608
505010_FOG Measure I_Low,7.662,R608
505010_FOG Measure I_Low,7.751,R608
505010_FOG Measure I_Low,6.910,R608
505010_FOG Measure I_Low,7.429,R608
505010_FOG Measure I_Low,6.538,R608
505010_FOG Measure I_Low,6.869,R608
506060 LSD LB Voltage Active,.8070,D1003
530010 CAL CH1-CH3 Current Init channel ON,-1197,D1003
530025_CAL CH1&CH3 High FB,0,D1003
530030 CAL CH1 Voltage High FB,0,D1003
530070 CAL CH3 Voltage High FB,0,D1003
530080 CAL CH3 Voltage Meas Vf High,.3329,D1003
530120 CAL CH1 Voltage Low FB,0,D1003
530160 CAL CH3 Voltage Low FB,0,D1003
530170 CAL CH3 Voltage Meas Vf Low,.2383,D1003
530200 CAL CH1-3 Voltage OFF,-1197,D1003
530010 CAL CH1-CH3 Current Init channel ON,-1197,D1003
530025_CAL CH1&CH3 High FB,0,D1003
530030 CAL CH1 Voltage High FB,0,D1003
530070 CAL CH3 Voltage High FB,0,D1003
530080 CAL CH3 Voltage Meas Vf High,.2622,D1003
530120 CAL CH1 Voltage Low FB,0,D1003
530160 CAL CH3 Voltage Low FB,0,D1003
530170 CAL CH3 Voltage Meas Vf Low,.1855,D1003
530200 CAL CH1-3 Voltage OFF,-1197,D1003
504150 AI P1 Read ADC PCB TEMP Normal Temperature,285,D1003
507030 HSD Read ADC Fan Sense,11,D1003
530010 CAL CH1-CH3 Current Init channel ON,-1197,D1003
530025_CAL CH1&CH3 High FB,0,D1003
530030 CAL CH1 Voltage High FB,0,D1003
530070 CAL CH3 Voltage High FB,0,D1003
530080 CAL CH3 Voltage Meas Vf High,.2806,D1003
530120 CAL CH1 Voltage Low FB,0,D1003
530160 CAL CH3 Voltage Low FB,0,D1003
530170 CAL CH3 Voltage Meas Vf Low,.1936,D1003
530200 CAL CH1-3 Voltage OFF,-1197,D1003
503010_PS P0 Variant Detect Combo,0,R206
503010_PS P0 Variant Detect Combo,0,R206
50120 IDENT Read Serial Number,0,IC100
50120 IDENT Read Serial Number,0,IC100
50120 IDENT Read Serial Number,0,IC100
506090_[A-01][C-03] LSD LSDRV Frequency,0,T1010
506090_[A-01][C-03] LSD LSDRV Frequency,0,T1010
506090_[A-01][C-03] LSD LSDRV Frequency,0,T1010
505114_OC Meas Voltage LINCOLN STAR CONTROL,.0043,D2200
505148_OC Read ADC LINCOLN STAR CONTROL,0,D2200
505114_OC Meas Voltage LINCOLN STAR CONTROL,.0036,D2200
505148_OC Read ADC LINCOLN STAR CONTROL,0,D2200
505114_OC Meas Voltage LINCOLN STAR CONTROL,.0032,D2200
505148_OC Read ADC LINCOLN STAR CONTROL,0,D2200
Screw_1_Status,0,L100
Screw1_1_Torque,0,L100
Screw_2_Status,0,L100
Screw1_2_Torque,0,L100
501050 LIN Voltage,.0111,L100
501060 Read SW Version,21474,L100
501070 Check SW Version,-1,L100
501080 Change to Programming Session,21474,L100
501090 Read Serial Number,21474,L100
501100 Check Serial Number,-1,L100
501110 Read Bootloader SW Version,21474,L100
501120 Check Bootloader Version,1,L100
501170 Change to Default Session,21474,L100
501180 Read PN Suffix,21474,L100
501190 Check PN Suffix,1,L100
501200 Read HW Version,21474,L100
501210 Check HW Version,1,L100
502020 EOL Change Session,21474,L100
502030 EOL Enter EOL mode,21474,L100
502040 EOL Activation EOL,21474,L100
502050 EOL Get Security Access,21474,L100
502060 EOL Validate Key to ECU,21474,L100
502070 EOL Check EOL mode,21474,L100
502080 EOL Download TBX,21474,L100
502090 Stand by Current,257.9,L100
502100 INIT uC Port Registers,-197,L100
503010 PS P0 LR Detect Feedback,-9999,L100
503020 PS P0 LB Feedback,17971,L100
503030 PS P0 HB Feedback,58156,L100
503050 PS P0 DTRL Feedback,35232,L100
503060 PS P0 Check DI DRL,0,L100
503070 PS P1 LR Detect Feedback,-9999,L100
504010 AI P0 Read ADC NTC-LB,-9999,L100
504020 AI P0 Read ADC NTC-HB,0,L100
504030 AI P0 Read ADC NTC-DRL,0,L100
504040 AI P0 Read ADC NTC-TI,0,L100
504050 AI P0 Read ADC BINNING-LB,12349,L100
504060 AI P0 Read ADC BINNING-DTRL,34551,L100
504070 AI P0 Read ADC BINNING-TI,37737,L100
504080 AI P1 Read ADC NTC-LB,-9999,L100
504090 AI P1 Read ADC NTC-HB,33554,L100
504100 AI P1 Read ADC NTC-DRL,58166,L100
504110 AI P1 Read ADC NTC-TI,-1946,L100
504120 AI P1 Read ADC BINNING-LB,36937,L100
504130 AI P1 Read ADC BINNING-DRL,36045,L100
504140 AI P1 Read ADC BINNING-TI,58166,L100
504150 AI P1 Read ADC PCB TEMP Normal Temperature,-1912,L100
504160 AI P1 Read ADC TEMP REF,36352,L100
504165 AI P1 Disable VRef analogs,-144,L100
504170 AI P1 Read ADC PCB TEMP OFF,-9999,L100
504180 AI P1 Read ADC TEMP REF OFF,17971,L100
506032 LSD set PWMs 50%,-144,L100
506034 LSD HB_IN Frequency,34253,L100
506036 LSD HB_IN Duty cycle,99.54,L100
506038 LSD set PWMs Off,-144,L100
506040 LSD Set P0,-144,L100
506075 LSD LB Disable HB,-144,L100
506090 LSD LB Voltage Inactive,.7380,L100
506100 LSD LB Current High,1502.,L100
507030 HSD Read ADC Fan Sense,-9999,L100
508010 INIT BOOST 30V,-144,L100
508020 INIT BUCK,-144,L100
505050_FOG Set Max Current,83352,C611
505046_FOG_P0 LED Anode FB,-.960,C611
505042_FOG_P0 Read Analog Inputs,21474,C611
505046_FOG_P0 LED Anode FB,-.960,C611
505046_FOG_P0 LED Anode FB,-.960,C611
505050_FOG Set Max Current,83352,C611
505046_FOG_P0 LED Anode FB,-.960,C611
505050_FOG Set Max Current,83352,C611
505050_FOG Set Max Current,83352,C611
505050_FOG Set Max Current,83352,C611
505042_FOG_P0 Read Analog Inputs,21474,C611
505046_FOG_P0 LED Anode FB,-.960,C611
505046_FOG_P0 LED Anode FB,-.960,C611
505046_FOG_P0 LED Anode FB,-.960,C611
505046_FOG_P0 LED Anode FB,-.960,C611
505050_FOG Set Max Current,83352,C611
505046_FOG_P0 LED Anode FB,-.960,C611
505050_FOG Set Max Current,83352,C611
505046_FOG_P0 LED Anode FB,-.960,C611
505046_FOG_P0 LED Anode FB,-.960,C611
505050_FOG Set Max Current,83352,C611
505050_FOG Set Max Current,83352,C611
505046_FOG_P0 LED Anode FB,-.960,C611
505046_FOG_P0 LED Anode FB,-.923,C611
505050_FOG Set Max Current,83352,C611
505046_FOG_P0 LED Anode FB,-.923,C611
505046_FOG_P0 LED Anode FB,-.923,C611
505030_FOG Measure V Cathode,12.05,C611
505010_FOG Measure I_Low,461.6,C611
505010_FOG Measure I_Low,465.5,C611
shorts,0,IC101
503030_ID Read SN,21474,IC101
503030_ID Read SN,21474,IC101
503030_ID Read SN,21474,IC101
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C1003
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0002,C1003
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0001,C1003
507040_HSD Voltage High,.0012,L417
507050_HSD Current High,.4185,L417
507080_HSD Read ADC Fan Sense,0,L417
509030_BST CHK Phase 2,35,L417
507040_HSD Voltage High,.0001,L417
507050_HSD Current High,.3401,L417
507080_HSD Read ADC Fan Sense,0,L417
509030_BST CHK Phase 2,35,L417
507040_HSD Voltage High,.0012,L417
507050_HSD Current High,.4185,L417
507080_HSD Read ADC Fan Sense,0,L417
509030_BST CHK Phase 2,35,L417
507040_HSD Voltage High,.0001,L417
507050_HSD Current High,.3401,L417
507080_HSD Read ADC Fan Sense,0,L417
509030_BST CHK Phase 2,35,L417
504010 AI P0 Read ADC NTC-LB,0,T300
504020 AI P0 Read ADC NTC-HB,0,T300
504030 AI P0 Read ADC NTC-DRL,0,T300
504040 AI P0 Read ADC NTC-TI,0,T300
504050 AI P0 Read ADC BINNING-LB,0,T300
504060 AI P0 Read ADC BINNING-DTRL,0,T300
504070 AI P0 Read ADC BINNING-TI,0,T300
504080 AI P1 Read ADC NTC-LB,0,T300
504090 AI P1 Read ADC NTC-HB,0,T300
504100 AI P1 Read ADC NTC-DRL,0,T300
504110 AI P1 Read ADC NTC-TI,0,T300
504120 AI P1 Read ADC BINNING-LB,0,T300
504130 AI P1 Read ADC BINNING-DRL,0,T300
504140 AI P1 Read ADC BINNING-TI,0,T300
504150 AI P1 Read ADC PCB TEMP Normal Temperature,0,T300
504160 AI P1 Read ADC TEMP REF,0,T300
506060 LSD LB Voltage Active,.7901,T300
501100 Check Serial Number,-1,R211
501100 Check Serial Number,-1,R211
509010 BST CHK Phase 1,0,R211
530030 CAL CH1 Voltage High FB,0,R211
530040 CAL CH1 Voltage Meas Vf High,.0551,R211
530070 CAL CH3 Voltage High FB,0,R211
530080 CAL CH3 Voltage Meas Vf High,.0543,R211
530120 CAL CH1 Voltage Low FB,0,R211
530130 CAL CH1 Voltage Meas Vf Low,.0550,R211
530160 CAL CH3 Voltage Low FB,0,R211
530170 CAL CH3 Voltage Meas Vf Low,.0543,R211
501100 Check Serial Number,-1,R211
501100 Check Serial Number,-1,R211
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0023,C1003
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0022,C1003
509010_BST CHK Phase 1,36,R217
509030_BST CHK Phase 2,35,R217
509050_BST CHK Phase 3,35,R217
509070_BST CHK Phase 4,36,R217
530030_CAL CH1 Voltage High FB,0,R217
530040_CAL CH1 Voltage Meas Vf High,.0863,R217
530050_CAL CH2 Voltage High FB,0,R217
530060_CAL CH2 Voltage Meas Vf High,.0856,R217
530070_CAL CH3 Voltage High FB,0,R217
530080_CAL CH3 Voltage Meas Vf High,.0865,R217
530090_CAL CH4 Voltage High FB,0,R217
530100_CAL CH4 Voltage Meas Vf High,.0818,R217
530120_CAL CH1 Voltage Low FB,0,R217
530130_CAL CH1 Voltage Meas Vf Low,.0864,R217
530140_CAL CH2 Voltage Low FB,0,R217
530150_CAL CH2 Voltage Meas Vf Low,.0856,R217
530160_CAL CH3 Voltage Low FB,0,R217
530170_CAL CH3 Voltage Meas Vf Low,.0866,R217
530180_CAL CH4 Voltage Low FB,0,R217
530190_CAL CH4 Voltage Meas Vf Low,.0818,R217
509010_BST CHK Phase 1,35,R217
509030_BST CHK Phase 2,35,R217
509050_BST CHK Phase 3,36,R217
509070_BST CHK Phase 4,35,R217
530030_CAL CH1 Voltage High FB,0,R217
530040_CAL CH1 Voltage Meas Vf High,.0864,R217
530050_CAL CH2 Voltage High FB,0,R217
530060_CAL CH2 Voltage Meas Vf High,.0856,R217
530070_CAL CH3 Voltage High FB,0,R217
530080_CAL CH3 Voltage Meas Vf High,.0866,R217
530090_CAL CH4 Voltage High FB,0,R217
530100_CAL CH4 Voltage Meas Vf High,.0817,R217
530120_CAL CH1 Voltage Low FB,0,R217
530130_CAL CH1 Voltage Meas Vf Low,.0864,R217
530140_CAL CH2 Voltage Low FB,0,R217
530150_CAL CH2 Voltage Meas Vf Low,.0856,R217
530160_CAL CH3 Voltage Low FB,0,R217
530170_CAL CH3 Voltage Meas Vf Low,.0866,R217
530180_CAL CH4 Voltage Low FB,0,R217
530190_CAL CH4 Voltage Meas Vf Low,.0818,R217
509010_BST CHK Phase 1,37,C250
509030_BST CHK Phase 2,36,C250
509050_BST CHK Phase 3,37,C250
509070_BST CHK Phase 4,36,C250
530030_CAL CH1 Voltage High FB,0,C250
530040_CAL CH1 Voltage Meas Vf High,.0814,C250
530050_CAL CH2 Voltage High FB,0,C250
530060_CAL CH2 Voltage Meas Vf High,.0830,C250
530070_CAL CH3 Voltage High FB,0,C250
530080_CAL CH3 Voltage Meas Vf High,.0810,C250
530090_CAL CH4 Voltage High FB,0,C250
530100_CAL CH4 Voltage Meas Vf High,.0804,C250
530120_CAL CH1 Voltage Low FB,0,C250
530130_CAL CH1 Voltage Meas Vf Low,.0814,C250
530140_CAL CH2 Voltage Low FB,0,C250
530150_CAL CH2 Voltage Meas Vf Low,.0832,C250
530160_CAL CH3 Voltage Low FB,0,C250
530170_CAL CH3 Voltage Meas Vf Low,.0810,C250
530180_CAL CH4 Voltage Low FB,0,C250
530190_CAL CH4 Voltage Meas Vf Low,.0805,C250
509010_BST CHK Phase 1,36,C250
509030_BST CHK Phase 2,37,C250
509050_BST CHK Phase 3,36,C250
509070_BST CHK Phase 4,36,C250
530030_CAL CH1 Voltage High FB,0,C250
530040_CAL CH1 Voltage Meas Vf High,.0844,C250
530050_CAL CH2 Voltage High FB,0,C250
530060_CAL CH2 Voltage Meas Vf High,.0859,C250
530070_CAL CH3 Voltage High FB,0,C250
530080_CAL CH3 Voltage Meas Vf High,.0838,C250
530090_CAL CH4 Voltage High FB,0,C250
530100_CAL CH4 Voltage Meas Vf High,.0833,C250
530120_CAL CH1 Voltage Low FB,0,C250
530130_CAL CH1 Voltage Meas Vf Low,.0843,C250
530140_CAL CH2 Voltage Low FB,0,C250
530150_CAL CH2 Voltage Meas Vf Low,.0860,C250
530160_CAL CH3 Voltage Low FB,0,C250
530170_CAL CH3 Voltage Meas Vf Low,.0839,C250
530180_CAL CH4 Voltage Low FB,0,C250
530190_CAL CH4 Voltage Meas Vf Low,.0833,C250
509010_BST CHK Phase 1,37,C250
509030_BST CHK Phase 2,36,C250
509050_BST CHK Phase 3,36,C250
509070_BST CHK Phase 4,37,C250
530030_CAL CH1 Voltage High FB,0,C250
530040_CAL CH1 Voltage Meas Vf High,.0854,C250
530050_CAL CH2 Voltage High FB,0,C250
530060_CAL CH2 Voltage Meas Vf High,.0870,C250
530070_CAL CH3 Voltage High FB,0,C250
530080_CAL CH3 Voltage Meas Vf High,.0850,C250
530090_CAL CH4 Voltage High FB,0,C250
530100_CAL CH4 Voltage Meas Vf High,.0843,C250
530120_CAL CH1 Voltage Low FB,0,C250
530130_CAL CH1 Voltage Meas Vf Low,.0855,C250
530140_CAL CH2 Voltage Low FB,0,C250
530150_CAL CH2 Voltage Meas Vf Low,.0871,C250
530160_CAL CH3 Voltage Low FB,0,C250
530170_CAL CH3 Voltage Meas Vf Low,.0851,C250
530180_CAL CH4 Voltage Low FB,0,C250
530190_CAL CH4 Voltage Meas Vf Low,.0844,C250
504150 AI P1 Read ADC PCB TEMP Normal Temperature,882,R340
505113_OC Meas Voltage SM CONTROL,.0034,D2300
505144_OC Read ADC SM CONTROL,0,D2300
505280_OC PWM SM CONTROL Meas Freq,0,D2300
505290_OC PWM SM CONTROL Meas Duty Cycle,0,D2300
505300_OC PWM SM CONTROL Meas Vrms,.1585,D2300
505330_OC PWM LINCOLN STAR CONTROL Meas Freq,0,D2300
505340_OC PWM LINCOLN STAR CONTROL Meas Duty Cycle,0,D2300
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms,.1585,D2300
505113_OC Meas Voltage SM CONTROL,.0032,D2300
505144_OC Read ADC SM CONTROL,0,D2300
